Transaction Date,Supplier Title,Supplier Category,Project Title,Currency Title,Type Title,Godown Title,Category Title,Class Title,Brand Title,Item Title,Unit Title,Item Description,Quantity,Rate,Gross Amount,SalesTax Amount,Net Amount
9/2/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGinger,Factory Warehouse,vegetable powder,seasoning,raw material,ginger powder (Sounth),kg,ginger powder 05 kg,5.0,900.0,4500.0,0.0,4500.0
9/2/2020,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt 50 bags,2500.0,9.5,23750.0,0.0,23750.0
9/2/2020,Klarg Exports,Local Supplier,None,PAK Rupee,maltodexterin,Factory Warehouse,glucose & sugar,seasoning,raw material,maltodextrin tyte&lyle,kg,maltodextrin 03 bags ,75.0,256.68,19251.0,0.0,19251.0
9/2/2020,Ahmed Impex,GENERAL & CONSUMABLE,None,PAK Rupee,PropyleneGlycolLiquid,Factory Warehouse,glucose & sugar,cakegel,raw material,Propylene glycol PG,kg,pg 06 drums ,1290.0,300.0,387000.0,0.0,387000.0
9/2/2020,Hussain Can,PACKING MATERIAL,None,PAK Rupee,cakegel,Factory Warehouse,bucket,cakegel,packing material,Plastic 18kg bucket,pcs,20kg plastic bucket 400pcs,400.0,300.0,120000.0,0.0,120000.0
9/2/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,stearic acid,Factory Warehouse,foodChem,cakegel,raw material,Stearic Acid,kg,stearic acid 05 ctn,125.0,350.0,43750.0,0.0,43750.0
9/2/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,calcium chloride,Factory Warehouse,foodChem,cakegel,raw material,CACL calcium chloride,kg,calcium chloride 01 bags,50.0,60.0,3000.0,0.0,3000.0
9/3/2020,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt 50 bags,2500.0,9.5,23750.0,0.0,23750.0
9/3/2020,Artotech Pvt ltd,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,dashi mc1 carton 1560pcs,1560.0,88.0,137280.0,23337.6,160617.6
9/3/2020,Artotech Pvt ltd,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,dashi mc1 carton 420pcs,420.0,88.0,36960.0,6283.2,43243.2
9/4/2020,Hussain Can,PACKING MATERIAL,None,PAK Rupee,cakegel,Factory Warehouse,bucket,cakegel,packing material,Plastic 1kg bucket,pcs,c.p 1kg bucket 3000pcs,3000.0,36.0,108000.0,0.0,108000.0
9/4/2020,Artotech Pvt ltd,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,dashi mc 1kg cracker carton 1600 pcs,1600.0,88.0,140800.0,23936.0,164736.0
9/5/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,acid citric,Factory Warehouse,foodChem,seasoning,raw material,CITRIC ACID,kg,citric acid 05 bags ,125.0,168.0,21000.0,0.0,21000.0
9/5/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderRedChilli,Factory Warehouse,vegetable powder,seasoning,raw material,red chilli,kg,red chilli 13 kg,13.0,480.0,6240.0,0.0,6240.0
9/5/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGarlic,Factory Warehouse,vegetable powder,seasoning,raw material,Garlic Powder Local,kg,garlic powder 05 kg,5.0,990.0,4950.0,0.0,4950.0
9/5/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGinger,Factory Warehouse,vegetable powder,seasoning,raw material,ginger powder (Sounth),kg,ginger powder 05 kg,5.0,900.0,4500.0,0.0,4500.0
9/5/2020,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt 200 bags,10000.0,9.5,95000.0,0.0,95000.0
9/5/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,acid sodium di acetate,Factory Warehouse,foodChem,seasoning,raw material,Sodium di Acetate,kg,sodium di acetate 02 bags ,50.0,230.0,11500.0,0.0,11500.0
9/5/2020,Artotech Pvt ltd,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,dashi mc1 carton 1755pcs,1755.0,88.0,154440.0,26254.8,180694.8
9/5/2020,Live Choice,RAW MATERIAL,None,PAK Rupee,cookingOil,Factory Warehouse,Fat,crackers,raw material,COOKING OIL ,kg,cooking oil 20 can,320.0,200.0,64000.0,0.0,64000.0
9/5/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,acid malic,Factory Warehouse,foodChem,seasoning,raw material,Malic Acid,kg,malic acid 01 bag,25.0,410.0,10250.0,0.0,10250.0
9/7/2020,Habib ADM Limited,RAW MATERIAL,None,PAK Rupee,maltoseSyrup,Factory Warehouse,glucose & sugar,mingalz,raw material,Maltose Syrup,kg,high maltose syrup 600kg,600.0,85.0,51000.0,8670.0,59670.0
9/7/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,sodiumBiCarbonate,Factory Warehouse,foodChem,cracker,raw material,Sodium bi Carbonate,kg,sodium bi carbonate 2bgs,50.0,66.0,3300.0,0.0,3300.0
9/8/2020,Rafhan Maize Products Co. Ltd. (OST),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,snowflakes starch rafhan 034020,kg,snowflakes starch 034020 @98/kg,2500.0,98.51,246285.0,0.0,246285.0
